,t3m,t5yr,t10yr,yield_pbs,yield_uni,policy
1Q01,10.2056,13.85175,14.6143,,,11
2Q01,9.826169231,14.41110769,15.1046,,,9.17
3Q01,9.727861538,15.09563077,15.60435385,,,9
4Q01,10.01256061,15.34368182,16.31621212,,,8.25
1Q02,7.491890625,13.03667188,14.351875,,,7.25
2Q02,5.100646154,12.12783077,13.38123077,,,7
3Q02,5.392636364,11.69742424,12.64865152,,,7
4Q02,5.644772727,11.23930303,12.49366667,,,7
1Q03,6.633625,11.8216875,12.84679688,,,7
2Q03,7.356230769,11.45883077,12.32815385,,,7
3Q03,6.239833333,10.61283333,11.65515152,,,6.75
4Q03,6.505136364,10.61640909,11.47290909,,,6.75
1Q04,7.035123077,11.52343077,12.20610769,,,6.75
2Q04,7.773553846,11.7036,12.49629231,,,6.75
3Q04,7.903863636,12.17719697,13.18937879,,,6.75
4Q04,8.284530303,12.56277273,13.65287879,,,6.75
1Q05,7.2438125,11.63575,12.71979688,,,6.75
2Q05,6.573307692,11.19741538,12.0988,,,7
3Q05,6.447893939,10.95236364,12.16990909,,,7.08
4Q05,6.362169231,10.37401538,11.30875385,,,7.5
1Q06,6.033846154,8.527338462,9.286723077,,,7.5
2Q06,6.338353846,8.469246154,9.269169231,,,7.5
3Q06,6.6626,8.577338462,9.3418,,,7.5
4Q06,5.757323077,6.742230769,7.181092308,,,7.5
1Q07,4.229046154,6.004184615,6.880876923,,,7.5
2Q07,4.642969231,6.337630769,7.241892308,,,7.5
3Q07,4.452984615,7.165846154,7.590861538,,,6
4Q07,4.18869697,6.461863636,6.973424242,,,5.5
1Q08,4.520861538,6.291030769,6.746507692,6.87,6.87,5.08
2Q08,5.675338462,8.226,8.717153846,6.65,6.65,5.08
3Q08,6.3285,8.14030303,8.755666667,6.77,6.77,5.92
4Q08,6.516515152,7.939939394,8.761590909,6.71,6.71,5.83
1Q09,4.938828125,6.474375,7.813171875,6.66,6.66,4.92
2Q09,4.569507692,6.463861538,8.056707692,6.53,6.53,4.33
3Q09,4.276712121,6.355727273,8.023393939,6.47,6.47,4
4Q09,4.130454545,6.379863636,7.942106061,5.97,5.97,4
1Q10,4.1174375,6.370609375,8.0573125,5.85,5.85,4
2Q10,4.151953846,6.473923077,8.033169231,5.73,5.73,4
3Q10,4.203984848,5.952015152,7.127909091,5.66,5.66,4
4Q10,2.705636364,4.992848485,5.99630303,5.37,5.37,4
1Q11,2.206921875,5.97846875,7.148328125,5.39,5.39,4.08
2Q11,1.970215385,5.618184615,6.640369231,5.23,5.23,4.42
3Q11,2.083045455,4.938318182,6.137742424,5.31,5.31,4.5
4Q11,1.862553846,5.170723077,5.871430769,5.06,5.06,4.5
1Q12,2.123769231,4.901876923,5.412261538,5.14,5.14,4.17
2Q12,2.454384615,5.0504,5.894292308,4.92,4.92,4
3Q12,1.749030769,4.780646154,5.176969231,4.92,4.92,3.75
4Q12,0.675515152,4.35819697,4.868954545,4.72,4.72,3.5
1Q13,0.378015625,3.601921875,4.06221875,4.78,4.78,3.5
2Q13,1.144876923,2.950184615,3.5076,4.55,4.55,3.5
3Q13,1.262030303,3.183878788,3.853772727,4.28,4.28,3.5
4Q13,0.397560606,3.301348485,3.719954545,4,4,3.5
1Q14,1.22990625,4.003546875,4.310125,4.12,4.12,3.5
2Q14,1.416384615,3.903015385,4.2896,4.1,4.1,3.5
3Q14,1.489242424,4.121363636,4.291151515,4.05,4.05,
4Q14,1.767606061,3.887515152,4.251969697,3.76,3.76,
1Q15,2.13325,3.636,4.09275,3.82,3.82,
2Q15,2.1554,3.513276923,4.296369231,3.84,3.84,
3Q15,1.782181818,3.648893939,4.171348485,3.9,3.9,
4Q15,1.915545455,3.796590909,3.951848485,3.79,3.79,
1Q16,1.790984615,4.014553846,4.207615385,3.91,3.91,
2Q16,1.788,3.270692308,4.5098,3.89,3.89,
3Q16,1.640621212,2.983075758,3.571121212,3.88,3.88,
4Q16,1.568092308,4.375184615,4.424923077,3.74,3.74,
1Q17,2.137661538,4.185107692,4.7202,3.81,3.81,
2Q17,2.231230769,4.185492308,4.970892308,3.82,3.82,
3Q17,2.323969231,4.498538462,4.821492308,3.88,3.88,
4Q17,2.486676923,4.772061538,5.252384615,3.86,3.86,
1Q18,2.813692308,5.024153846,6.203692308,3.97,3.97,
2Q18,3.393061538,5.498692308,6.346907692,4.05,4.05,
3Q18,3.425815385,6.120046154,6.686476923,4.17,4.17,
4Q18,5.137454545,7.353742424,7.488727273,4.31,4.31,
1Q19,5.571,6.221203125,6.35959375,4.64,4.64,
2Q19,5.307076923,5.594015385,5.685815385,4.91,4.91,
3Q19,3.606651515,4.519272727,4.703863636,5.06,5.06,
4Q19,3.210151515,4.220242424,4.597848485,5.03,5.03,
1Q20,3.211907692,4.355861538,4.599292308,5.07,5.07,
2Q20,2.502892308,3.245492308,3.581215385,5.02,5.02,
3Q20,1.337590909,2.542378788,2.804257576,4.78,4.78,
4Q20,1.178075758,2.748984848,3.00830303,4.49,4.49,
1Q21,1.080953125,2.909859375,3.561234375,4.28,4.28,
2Q21,1.316446154,3.208384615,3.997030769,4.06,4.06,
3Q21,1.157121212,2.820893939,4.099060606,,,
