,assets,capital,deposits,loans,dep_gth,loan_gth,ldr,asset_eq,pct_eq
9/1/2007,1722214.974,195163.3326,1328739.152,793429.1976,,,0.597129389,8.824480251,0.113321122
12/1/2007,1824618.28,203537.8667,1411980.995,875840.1287,,,0.620291726,8.964515104,0.11155093
3/1/2008,1762574.572,193537.8786,1354084.015,822586.8563,,,0.607485833,9.107129749,0.10980408
6/1/2008,1886282.583,182885.2745,1444970.528,922372.2651,,,0.638332926,10.31402111,0.096955396
9/1/2008,1952753.324,185108.6858,1534162.784,982180.6875,0.154600421,0.2378933,0.640206305,10.5492258,0.094793686
12/1/2008,2094914.758,184711.5024,1683707.544,1052898.515,0.192443489,0.20215834,0.62534525,11.3415501,0.088171369
3/1/2009,2044417.984,194072.2472,1635570.416,1064028.138,0.207879569,0.293514636,0.650554771,10.53431397,0.094927871
6/1/2009,2106329.205,203847.8209,1658932.289,1119593.742,0.148073443,0.213819826,0.674888149,10.33285122,0.096778709
9/1/2009,2082715.644,212006.314,1637628.339,1060154.084,0.067441054,0.079388037,0.647371604,9.823837814,0.101793211
12/1/2009,2248071.207,219787.7519,1792174.265,1166292.864,0.064421355,0.107697321,0.650769787,10.22837346,0.097767255
3/1/2010,2193900.924,220148.3874,1738176.917,1084309.412,0.062734383,0.019060844,0.623819936,9.965555278,0.100345638
6/1/2010,2288552.544,240126.4954,1817231.899,1183037.796,0.095422587,0.056667032,0.651010912,9.530612358,0.104925052
9/1/2010,2337161.209,261265.774,1852664.233,1168220.328,0.131309339,0.101934469,0.630562358,8.945531492,0.111787656
12/1/2010,2574824.458,272004.5397,2027542.703,1218778.969,0.131331223,0.045002509,0.601111368,9.4661084,0.105640033
3/1/2011,2523093.581,283657.4219,1947511.608,1176043.839,0.120433478,0.084601707,0.603870002,8.894861853,0.112424455
6/1/2011,2701379.211,289457.8054,2077428.898,1337840.499,0.143183156,0.130851866,0.643988586,9.332549203,0.107151859
9/1/2011,2587918.007,298478.3086,1971724.842,1300390.221,0.064264537,0.113137813,0.659519114,8.670372125,0.115335303
12/1/2011,2722083.277,315575.8028,2083133.152,1425320.433,0.027417646,0.169465891,0.684219553,8.625766783,0.115931722
3/1/2012,2654819.421,323640.7346,1985997.991,1385925.28,0.019761825,0.17846396,0.697848279,8.202982928,0.121906873
6/1/2012,2843775.861,330055.6933,2167865.196,1546403.29,0.043532801,0.155895109,0.713330005,8.6160485,0.116062485
9/1/2012,2859562.241,387568.0837,2098834.534,1542727.169,0.064466243,0.186357098,0.735039921,7.378219108,0.135534061
12/1/2012,3085246.344,398844.72,2318286.12,1654603.861,0.112884271,0.160864478,0.713718573,7.735457408,0.129274838
3/1/2013,3035498.525,434351.1164,2234350.965,1654172.588,0.125051976,0.193551061,0.740336954,6.988582302,0.143090538
6/1/2013,3393918.675,422789.5768,2583379.575,1806478.535,0.191669842,0.168180737,0.699269497,8.027441691,0.124572689
9/1/2013,3628830.493,436528.4166,2833764.408,1855294.129,0.35016094,0.202606764,0.654710082,8.312930739,0.120294518
12/1/2013,4067446.74,433870.0448,3191850.884,2081001.385,0.376814905,0.257703692,0.651973247,9.374804251,0.106668894
3/1/2014,4116051.214,464294.3481,3218273.383,2126863.626,0.440361623,0.285756783,0.660871024,8.865176221,0.112800916
6/1/2014,4277642.805,471556.9042,3363286.086,2244195.962,0.301893891,0.24230425,0.667262881,9.071318364,0.11023756
9/1/2014,4353916.458,485137.0396,3432148.24,2406065.75,0.211162167,0.296864854,0.701037829,8.974611507,0.111425436
12/1/2014,4732244.637,508153.0892,3705196.496,2643299.528,0.160830073,0.270205559,0.713403333,9.312635773,0.107380985
3/1/2015,4757028.517,515970.8503,3757152.25,2569731.233,0.167443471,0.208225672,0.683957173,9.219568342,0.108464948
6/1/2015,4797973.924,555954.9988,3780155.511,2646563.268,0.123947061,0.179292412,0.700120209,8.630148006,0.115872868
9/1/2015,4893640.453,572435.0257,3816612.994,2667605.509,0.112018691,0.108700171,0.69894577,8.548813809,0.116975293
12/1/2015,5179303.179,584423.0425,4032786.726,2907162.345,0.088413727,0.099823275,0.720881748,8.862250121,0.11283816
3/1/2016,5127297.041,595724.4207,4040391.968,2918616.873,0.075386809,0.135767366,0.722359834,8.606827021,0.116186836
6/1/2016,5373543.293,649504.9712,4182481.126,3083127.677,0.106430969,0.164955214,0.737152801,8.273290477,0.120870892
9/1/2016,5482371.391,662805.448,4200198.527,3153456.997,0.100504173,0.182130186,0.750787606,8.271463983,0.120897583
12/1/2016,5897452.917,660817.2564,4571053.927,3478687.082,0.133472766,0.196591958,0.761025168,8.924483826,0.112051298
3/1/2017,6032033.769,737071.6145,4657957.157,3517453.067,0.152847841,0.205178076,0.755149296,8.183782485,0.122192886
6/1/2017,6152434.311,752317.1978,4709937.531,3676396.631,0.126110887,0.192424387,0.780561654,8.177979088,0.122279599
9/1/2017,6450049.283,770289.8216,4981001.538,3873406.832,0.185896692,0.228304948,0.777636145,8.373535651,0.119423866
12/1/2017,6635348.666,773814.9359,5097625.93,4081635.264,0.115197066,0.173326364,0.800693366,8.574852149,0.116620087
3/1/2018,6723469.98,796501.4107,5292374.724,4163464.536,0.136200816,0.183658874,0.786691184,8.441253072,0.118465824
6/1/2018,6927069.629,915885.0589,5331827.892,4347093.601,0.132037921,0.182433246,0.815310188,7.563252137,0.132218255
9/1/2018,7014336.238,941515.6637,5372889.906,4434020.448,0.078676621,0.144733987,0.825258013,7.45004731,0.134227336
12/1/2018,7373829.78,967503.5418,5524343.758,4674184.659,0.083709129,0.145174509,0.846106771,7.621501588,0.13120774
3/1/2019,7358567.812,991823.8838,5492339.54,4591583.794,0.037783571,0.102827646,0.835997804,7.419228285,0.134784908
6/1/2019,7516427.732,1018044.838,5637497.172,4726739.666,0.057329172,0.087333308,0.838446481,7.383199099,0.135442643
9/1/2019,7605835.841,1048737.051,5591841.907,4782389.604,0.040751254,0.078567332,0.855244065,7.252376401,0.137885838
12/1/2019,7887150.172,1066602.526,5895144.963,5057136.318,0.067121313,0.081929082,0.857847661,7.394647938,0.135232943
3/1/2020,7944407.176,1058983.458,5955139.959,5107641.608,0.084262893,0.112392115,0.857686241,7.501918108,0.133299242
6/1/2020,7924498.56,1085184.656,6069006.909,5011630.24,0.076542786,0.06027211,0.825774351,7.302442506,0.136940482
9/1/2020,7806939.795,1091276.867,5907005.806,4835794.943,0.056361375,0.011167082,0.818654171,7.153949681,0.139782923
12/1/2020,8019958.361,1104877.279,6043167.246,4967099.924,0.025109185,-0.01780383,0.821936531,7.258687017,0.137765962
3/1/2021,7954909.005,1095367.364,6045761.695,4791985.938,0.015217398,-0.061800669,0.792619058,7.262320629,0.137697033
6/1/2021,8062230.89,1121268.213,6127544.271,4833261.095,0.009645295,-0.035591043,0.788776202,7.19027865,0.139076668
